id,site,visit,param,datetime,value,units,precip,precip48
5728,MAR036,642,ECOLI,2002-06-12T10:30:00Z,550.0,CFU/100ml,0.0,0.24
5889,MAR036,660,ECOLI,2002-07-10T11:11:00Z,71e3,CFU/100ml,0.0,0.62
5907,MAR036,662,ECOLI,2002-08-14T10:00:00Z,160.0,CFU/100ml,0.0,0.0
6034,MAR036,677,ECOLI,2002-09-11T10:40:00Z,20.0,CFU/100ml,0.0,0.0
6154,MAR036,691,ECOLI,2002-10-09T10:55:00Z,49e3,CFU/100ml,0.0,0.0
6280,MAR036,706,ECOLI,2002-11-13T12:04:00Z,6800.0,CFU/100ml,0.07,0.9400000000000001
6379,MAR036,717,ECOLI,2002-12-11T12:03:00Z,1160.0,CFU/100ml,0.0,0.0
6576,MAR036,730,ECOLI,2003-01-08T12:12:00Z,550.0,CFU/100ml,0.0,0.02
6619,MAR036,735,ECOLI,2003-03-12T11:35:00Z,50.0,CFU/100ml,0.0,0.0
6759,MAR036,751,ECOLI,2003-04-09T11:01:00Z,200.0,CFU/100ml,0.0,0.04
6826,MAR036,759,ECOLI,2003-05-14T10:40:00Z,850.0,CFU/100ml,0.0,0.1
6943,MAR036,773,ECOLI,2003-06-11T10:53:00Z,50.0,CFU/100ml,0.0,0.0
7033,MAR036,784,ECOLI,2003-07-09T10:48:00Z,90.0,CFU/100ml,0.0,0.0
7136,MAR036,797,ECOLI,2003-08-13T10:51:00Z,4200.0,CFU/100ml,0.0,0.04
7248,MAR036,810,ECOLI,2003-09-10T11:15:00Z,100.0,CFU/100ml,0.0,0.0
7343,MAR036,821,ECOLI,2003-10-08T11:15:00Z,10.0,CFU/100ml,0.0,0.0
7439,MAR036,832,ECOLI,2003-11-12T11:55:00Z,100.0,CFU/100ml,0.0,0.14
7582,MAR036,851,ECOLI,2004-02-11T11:40:00Z,10.0,CFU/100ml,0.0,0.0
7704,MAR036,865,ECOLI,2004-03-10T11:32:00Z,10.0,CFU/100ml,0.0,0.07
7792,MAR036,875,ECOLI,2004-04-14T10:29:00Z,630.0,CFU/100ml,0.0,2.04
7909,MAR036,888,ECOLI,2004-05-12T10:11:00Z,160.0,CFU/100ml,0.0,0.0
8014,MAR036,900,ECOLI,2004-06-09T10:50:00Z,50.0,CFU/100ml,0.0,0.0
8133,MAR036,914,ECOLI,2004-07-14T11:04:00Z,1710.0,CFU/100ml,0.0,0.47
8239,MAR036,926,ECOLI,2004-08-11T10:57:00Z,140.0,CFU/100ml,0.0,0.0
8342,MAR036,938,ECOLI,2004-09-08T10:54:00Z,50.0,CFU/100ml,0.0,0.0
8440,MAR036,949,ECOLI,2004-10-13T10:47:00Z,190.0,CFU/100ml,0.0,0.11
8512,MAR036,957,ECOLI,2004-11-10T11:27:00Z,70.0,CFU/100ml,0.0,0.0
8601,MAR036,970,ECOLI,2004-12-08T11:30:00Z,2810.0,CFU/100ml,0.0,1.02
8706,MAR036,983,ECOLI,2005-01-12T11:52:00Z,20.0,CFU/100ml,0.01,0.09
8791,MAR036,993,ECOLI,2005-02-09T11:36:00Z,80.0,CFU/100ml,0.0,0.0
8906,MAR036,1006,ECOLI,2005-04-13T10:23:00Z,10.0,CFU/100ml,0.0,0.04
9004,MAR036,1017,ECOLI,2005-05-11T10:23:00Z,10.0,CFU/100ml,0.0,0.0
9114,MAR036,1030,ECOLI,2005-06-08T10:36:00Z,260.0,CFU/100ml,0.0,0.02
9195,MAR036,1039,ECOLI,2005-07-13T10:35:00Z,150.0,CFU/100ml,0.0,0.0
9293,MAR036,1050,ECOLI,2005-08-10T10:00:00Z,150.0,CFU/100ml,0.0,0.02
9517,MAR036,1078,ECOLI,2005-10-12T10:48:00Z,6100.0,CFU/100ml,0.0,0.33
9605,MAR036,1088,ECOLI,2005-11-09T11:21:00Z,170.0,CFU/100ml,0.0,0.0
9701,MAR036,1099,ECOLI,2005-12-14T11:26:00Z,60.0,CFU/100ml,0.0,0.0
9791,MAR036,1110,ECOLI,2006-01-11T11:24:00Z,5.0,CFU/100ml,0.0,0.01
9877,MAR036,1121,ECOLI,2006-02-08T11:20:00Z,30.0,CFU/100ml,0.0,0.0
9954,MAR036,1132,ECOLI,2006-03-08T11:24:00Z,240.0,CFU/100ml,0.0,0.0
10056,MAR036,1144,ECOLI,2006-04-12T10:20:00Z,10.0,CFU/100ml,0.0,0.0
10153,MAR036,1156,ECOLI,2006-05-10T10:25:00Z,2e3,CFU/100ml,0.01,1.25
10261,MAR036,1169,ECOLI,2006-06-14T10:27:00Z,260.0,CFU/100ml,0.0,0.0
10355,MAR036,1180,ECOLI,2006-07-12T10:37:00Z,70400.0,CFU/100ml,0.0,0.02
10472,MAR036,1194,ECOLI,2006-08-09T10:41:00Z,3360.0,CFU/100ml,0.0,0.04
10555,MAR036,1205,ECOLI,2006-09-13T10:38:00Z,63.0,MPN/100ml,0.0,0.0
10635,MAR036,1215,ECOLI,2006-10-11T10:29:00Z,31.0,MPN/100ml,0.0,0.0
