LocationID,VisitID,ID,CharacteristicID,ResultValue,Units,Qualifier,FlagID,MethodID,ResultComment,SampleDepth,UniqueID,Datetime,ProjectID,SampleTypeID,HasFlow,SampleDepthType,Comment,LocationDescription,WaterBodyID,MunicipalityID,Latitude,Longitude,LocationTypeID,LocationMethod,CoordinateSystem,InWatershed,RegionalID,WaterType,Owner,StaffGage,County,CatchmentArea_Sqmi
MAR003,136264,438519,TURB,8.81,NTU,NA,NA,205,NA,NA,201505260830_MAR003_TMDL_S,2015-05-26T12:30:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136405,439156,CHLA,21.68,ug/l,NA,NA,207,NA,NA,201509290834_MAR003_TMDL_S,2015-09-29T12:34:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136455,439405,DO_SAT,92.0962297151142,%,NA,NA,24,NA,NA,201511100945_MAR003_TMDL_S,2015-11-10T14:45:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136298,438686,CHLA,26.45,ug/l,NA,NA,207,NA,NA,201506230905_MAR003_TMDL_S,2015-06-23T13:05:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136581,439537,TURB,3.38,NTU,NA,NA,205,NA,NA,201511240950_MAR003_TMDL_S,2015-11-24T14:50:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136328,438811,DO_SAT,148.028269204131,%,NA,NA,24,NA,NA,201507210847_MAR003_TMDL_S,2015-07-21T12:47:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136312,438752,TP,0.026,mg/l,NA,NA,206,NA,NA,201507070900_MAR003_TMDL_S,2015-07-07T13:00:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136417,439225,PO4,0.005,mg/l,<,NA,208,NA,NA,201510130858_MAR003_TMDL_FD,2015-10-13T12:58:00Z,PHOS,FD,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136405,439157,DO_SAT,118.899777837658,%,NA,NA,24,NA,NA,201509290834_MAR003_TMDL_S,2015-09-29T12:34:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136328,438809,TP,0.046,mg/l,NA,NA,206,NA,NA,201507210847_MAR003_TMDL_S,2015-07-21T12:47:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136405,439154,TURB,4.85,NTU,NA,NA,205,NA,NA,201509290834_MAR003_TMDL_S,2015-09-29T12:34:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136298,438687,TURB,5.16,NTU,NA,NA,205,NA,NA,201506230905_MAR003_TMDL_S,2015-06-23T13:05:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136282,438614,SPCOND,1531.0,uS/cm,NA,NA,71,NA,NA,201506090902_MAR003_TMDL_S,2015-06-09T13:02:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136298,438684,PO4,0.005,mg/l,<,NA,208,NA,NA,201506230905_MAR003_TMDL_S,2015-06-23T13:05:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136298,438685,DO_SAT,130.379716116765,%,NA,NA,24,NA,NA,201506230905_MAR003_TMDL_S,2015-06-23T13:05:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136312,438753,CHLA,15.1,ug/l,NA,NA,207,NA,NA,201507070900_MAR003_TMDL_S,2015-07-07T13:00:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136455,439403,TP,0.043,mg/l,NA,NA,206,NA,NA,201511100945_MAR003_TMDL_S,2015-11-10T14:45:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136362,438945,DO,10.27,mg/l,NA,NA,24,NA,NA,201508180929_MAR003_TMDL_S,2015-08-18T13:29:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
MAR003,136282,438613,TURB,8.48,NTU,NA,NA,205,NA,NA,201506090902_MAR003_TMDL_S,2015-06-09T13:02:00Z,PHOS,S,1,NA,NA,NA,Malden River,Medford,42.3995,-71.0753666666667,22,GPS-Unspecified,WGS84,1,Upper Mystic River,Fresh,NA,0,Middlesex,NA
